1/31 神龙战戒
1/50 二级军鼓(刺)
1/50 三级军鼓(刺)
1/50 四级军鼓(刺)
1/50 五级军鼓(刺)
1/50 六级军鼓(刺)
1/50 七级军鼓(刺)
1/50 八级军鼓(刺)
1/50 九级军鼓(刺)
1/50 十级军鼓(刺)
1/50 十一级军鼓(刺)
1/50 四级暴击术
1/50 四级炎龙波
1/50 四级火镰狂舞
1/50 四级灭日龙轰
1/50 四级赤炎星爆
1/50 四级冲虚闪
1/50 燃血破空
1/50 血祭刃扇
1/50 刀扇魅影
1/50 疾风鼓荡
1/50 圣灵丹
1/50 战魂丹
1/50 法魂丹
1/50 道魂丹
1/50 刺魂丹
1/50 返璞归真(刺)
1/50 丽质天成(刺)
1/50 玉树临风(刺)
1/50 粉妆玉砌(刺)
1/50 仙风道骨(刺)
1/50 蕙质兰心(刺)
1/50 耀阳时装(刺)
1/50 暗影时装(刺)
1/50 暴风时装男(刺)
1/50 暴风时装女(刺)
1/50 九天彩凤刺(男)
1/50 九天彩凤刺(女)
1/50 神圣天龙刺(男)
1/50 神圣天龙刺(女)
1/50 龙腾天下刺(男)
1/50 龙腾天下刺(女)
1/50 神翼天尊刺(男)
1/50 神翼天尊刺(女)
1/50 傲视群雄刺(男)
1/50 傲视群雄刺(女)

1/32 RANDOM"[1/10]真龙战盔|[1/10]真龙法冠|[1/10]真龙道盔|[1/10]真龙腰带(战)|[1/10]真龙腰带(法)|[1/10]真龙腰带(道)|[1/10]真龙战靴|[1/10]真龙魔靴|[1/4]真龙道靴|[1/10]真龙面巾(战)|[1/10]真龙面巾(法)|[1/10]真龙面巾(道)|[1/10]真龙斗笠(战)|[1/10]真龙护腕(战)|[1/10]真龙护腕(道)|[1/10]真龙战戒|[1/10]真龙魔戒|[1/10]真龙道戒|[1/10]真龙项链(战)|[1/10]真龙项链(法)|[1/10]真龙项链(道)|[1/10]真龙斗笠(法)|[1/10]真龙斗笠(道)|[1/10]真龙护腕(法)" 
