;物品拆解配置文件
;拆解材料 获得物品(支持8个材料,用","分隔)
;------------------------------------------------
五级神圣抗性石	五级神圣真气石,五级抗性真气石
八级内力神圣石	八级内力真气石,八级神圣真气石
九级内力神圣石	九级内力真气石,九级神圣真气石
十级内力神圣石	十级内力真气石,十级神圣真气石

五级内力抗性石	五级内力真气石,五级抗性真气石
六级内力抗性石	六级内力真气石,六级抗性真气石
七级内力抗性石	七级内力真气石,七级抗性真气石
八级内力抗性石	八级内力真气石,八级抗性真气石
九级内力抗性石	九级内力真气石,九级抗性真气石
十级内力抗性石	十级内力真气石,十级抗性真气石

五级内力十步石	五级内力真气石,五级十步真气石
六级内力十步石	六级内力真气石,六级十步真气石
七级内力十步石	七级内力真气石,七级十步真气石
八级内力十步石	八级内力真气石,八级十步真气石
九级内力十步石	九级内力真气石,九级十步真气石
十级内力十步石	十级内力真气石,十级十步真气石

五级内力天雷石	五级内力真气石,五级天雷真气石
六级内力天雷石	六级内力真气石,六级天雷真气石
七级内力天雷石	七级内力真气石,七级天雷真气石
八级内力天雷石	八级内力真气石,八级天雷真气石
九级内力天雷石	九级内力真气石,九级天雷真气石
十级内力天雷石	十级内力真气石,十级天雷真气石

五级内力回天石	五级内力真气石,五级回天真气石
六级内力回天石	六级内力真气石,六级回天真气石
七级内力回天石	七级内力真气石,七级回天真气石
八级内力回天石	八级内力真气石,八级回天真气石
九级内力回天石	九级内力真气石,九级回天真气石
十级内力回天石	十级内力真气石,十级回天真气石

五级内力嗜血石	五级内力真气石,五级嗜血真气石
六级内力嗜血石	六级内力真气石,六级嗜血真气石
七级内力嗜血石	七级内力真气石,七级嗜血真气石
八级内力嗜血石	八级内力真气石,八级嗜血真气石
九级内力嗜血石	九级内力真气石,九级嗜血真气石
十级内力嗜血石	十级内力真气石,十级嗜血真气石

五级内力复仇石	五级内力真气石,五级复仇真气石
六级内力复仇石	六级内力真气石,六级复仇真气石
七级内力复仇石	七级内力真气石,七级复仇真气石
八级内力复仇石	八级内力真气石,八级复仇真气石
九级内力复仇石	九级内力真气石,九级复仇真气石
十级内力复仇石	十级内力真气石,十级复仇真气石

五级内力毁灭石	五级内力真气石,五级毁灭真气石
六级内力毁灭石	六级内力真气石,六级毁灭真气石
七级内力毁灭石	七级内力真气石,七级毁灭真气石
八级内力毁灭石	八级内力真气石,八级毁灭真气石
九级内力毁灭石	九级内力真气石,九级毁灭真气石
十级内力毁灭石	十级内力真气石,十级毁灭真气石

五级内力刃扇石	五级内力真气石,五级刃扇真气石
六级内力刃扇石	六级内力真气石,六级刃扇真气石
七级内力刃扇石	七级内力真气石,七级刃扇真气石
八级内力刃扇石	八级内力真气石,八级刃扇真气石
九级内力刃扇石	九级内力真气石,九级刃扇真气石
十级内力刃扇石	十级内力真气石,十级刃扇真气石
;------------------------------

五级十步神圣石	五级十步真气石,五级神圣真气石
六级十步神圣石	六级十步真气石,六级神圣真气石
七级十步神圣石	七级十步真气石,七级神圣真气石
八级十步神圣石	八级十步真气石,八级神圣真气石
九级十步神圣石	九级十步真气石,九级神圣真气石
十级十步神圣石	十级十步真气石,十级神圣真气石

五级十步抗性石	五级十步真气石,五级抗性真气石
六级十步抗性石	六级十步真气石,六级抗性真气石
七级十步抗性石	七级十步真气石,七级抗性真气石
八级十步抗性石	八级十步真气石,八级抗性真气石
九级十步抗性石	九级十步真气石,九级抗性真气石
十级十步抗性石	十级十步真气石,十级抗性真气石

五级十步内力石	五级十步真气石,五级内力真气石
六级十步内力石	六级十步真气石,六级内力真气石
七级十步内力石	七级十步真气石,七级内力真气石
八级十步内力石	八级十步真气石,八级内力真气石
九级十步内力石	九级十步真气石,九级内力真气石
十级十步内力石	十级十步真气石,十级内力真气石

五级天雷神圣石	五级天雷真气石,五级神圣真气石
六级天雷神圣石	六级天雷真气石,六级神圣真气石
七级天雷神圣石	七级天雷真气石,七级神圣真气石
八级天雷神圣石	八级天雷真气石,八级神圣真气石
九级天雷神圣石	九级天雷真气石,九级神圣真气石
十级天雷神圣石	十级天雷真气石,十级神圣真气石

五级天雷抗性石	五级天雷真气石,五级抗性真气石
六级天雷抗性石	六级天雷真气石,六级抗性真气石
七级天雷抗性石	七级天雷真气石,七级抗性真气石
八级天雷抗性石	八级天雷真气石,八级抗性真气石
九级天雷抗性石	九级天雷真气石,九级抗性真气石
十级天雷抗性石	十级天雷真气石,十级抗性真气石

五级天雷内力石	五级天雷真气石,五级内力真气石
六级天雷内力石	六级天雷真气石,六级内力真气石
七级天雷内力石	七级天雷真气石,七级内力真气石
八级天雷内力石	八级天雷真气石,八级内力真气石
九级天雷内力石	九级天雷真气石,九级内力真气石
十级天雷内力石	十级天雷真气石,十级内力真气石

五级回天神圣石	五级回天真气石,五级神圣真气石
六级回天神圣石	六级回天真气石,六级神圣真气石
七级回天神圣石	七级回天真气石,七级神圣真气石
八级回天神圣石	八级回天真气石,八级神圣真气石
九级回天神圣石	九级回天真气石,九级神圣真气石
十级回天神圣石	十级回天真气石,十级神圣真气石

五级回天抗性石	五级回天真气石,五级抗性真气石
六级回天抗性石	六级回天真气石,六级抗性真气石
七级回天抗性石	七级回天真气石,七级抗性真气石
八级回天抗性石	八级回天真气石,八级抗性真气石
九级回天抗性石	九级回天真气石,九级抗性真气石
十级回天抗性石	十级回天真气石,十级抗性真气石

五级回天内力石	五级回天真气石,五级内力真气石
六级回天内力石	六级回天真气石,六级内力真气石
七级回天内力石	七级回天真气石,七级内力真气石
八级回天内力石	八级回天真气石,八级内力真气石
九级回天内力石	九级回天真气石,九级内力真气石
十级回天内力石	十级回天真气石,十级内力真气石

五级嗜血神圣石	五级嗜血真气石,五级神圣真气石
六级嗜血神圣石	六级嗜血真气石,六级神圣真气石
七级嗜血神圣石	七级嗜血真气石,七级神圣真气石
八级嗜血神圣石	八级嗜血真气石,八级神圣真气石
九级嗜血神圣石	九级嗜血真气石,九级神圣真气石
十级嗜血神圣石	十级嗜血真气石,十级神圣真气石

五级嗜血抗性石	五级嗜血真气石,五级抗性真气石
六级嗜血抗性石	六级嗜血真气石,六级抗性真气石
七级嗜血抗性石	七级嗜血真气石,七级抗性真气石
八级嗜血抗性石	八级嗜血真气石,八级抗性真气石
九级嗜血抗性石	九级嗜血真气石,九级抗性真气石
十级嗜血抗性石	十级嗜血真气石,十级抗性真气石

五级嗜血内力石	五级嗜血真气石,五级内力真气石
六级嗜血内力石	六级嗜血真气石,六级内力真气石
七级嗜血内力石	七级嗜血真气石,七级内力真气石
八级嗜血内力石	八级嗜血真气石,八级内力真气石
九级嗜血内力石	九级嗜血真气石,九级内力真气石
十级嗜血内力石	十级嗜血真气石,十级内力真气石

五级复仇神圣石	五级复仇真气石,五级神圣真气石
六级复仇神圣石	六级复仇真气石,六级神圣真气石
七级复仇神圣石	七级复仇真气石,七级神圣真气石
八级复仇神圣石	八级复仇真气石,八级神圣真气石
九级复仇神圣石	九级复仇真气石,九级神圣真气石
十级复仇神圣石	十级复仇真气石,十级神圣真气石

五级复仇抗性石	五级复仇真气石,五级抗性真气石
六级复仇抗性石	六级复仇真气石,六级抗性真气石
七级复仇抗性石	七级复仇真气石,七级抗性真气石
八级复仇抗性石	八级复仇真气石,八级抗性真气石
九级复仇抗性石	九级复仇真气石,九级抗性真气石
十级复仇抗性石	十级复仇真气石,十级抗性真气石

五级复仇内力石	五级复仇真气石,五级内力真气石
六级复仇内力石	六级复仇真气石,六级内力真气石
七级复仇内力石	七级复仇真气石,七级内力真气石
八级复仇内力石	八级复仇真气石,八级内力真气石
九级复仇内力石	九级复仇真气石,九级内力真气石
十级复仇内力石	十级复仇真气石,十级内力真气石

五级毁灭神圣石	五级毁灭真气石,五级神圣真气石
六级毁灭神圣石	六级毁灭真气石,六级神圣真气石
七级毁灭神圣石	七级毁灭真气石,七级神圣真气石
八级毁灭神圣石	八级毁灭真气石,八级神圣真气石
九级毁灭神圣石	九级毁灭真气石,九级神圣真气石
十级毁灭神圣石	十级毁灭真气石,十级神圣真气石

五级毁灭抗性石	五级毁灭真气石,五级抗性真气石
六级毁灭抗性石	六级毁灭真气石,六级抗性真气石
七级毁灭抗性石	七级毁灭真气石,七级抗性真气石
八级毁灭抗性石	八级毁灭真气石,八级抗性真气石
九级毁灭抗性石	九级毁灭真气石,九级抗性真气石
十级毁灭抗性石	十级毁灭真气石,十级抗性真气石

五级毁灭内力石	五级毁灭真气石,五级内力真气石
六级毁灭内力石	六级毁灭真气石,六级内力真气石
七级毁灭内力石	七级毁灭真气石,七级内力真气石
八级毁灭内力石	八级毁灭真气石,八级内力真气石
九级毁灭内力石	九级毁灭真气石,九级内力真气石
十级毁灭内力石	十级毁灭真气石,十级内力真气石

五级刃扇神圣石	五级刃扇真气石,五级神圣真气石
六级刃扇神圣石	六级刃扇真气石,六级神圣真气石
七级刃扇神圣石	七级刃扇真气石,七级神圣真气石
八级刃扇神圣石	八级刃扇真气石,八级神圣真气石
九级刃扇神圣石	九级刃扇真气石,九级神圣真气石
十级刃扇神圣石	十级刃扇真气石,十级神圣真气石

五级刃扇抗性石	五级刃扇真气石,五级抗性真气石
六级刃扇抗性石	六级刃扇真气石,六级抗性真气石
七级刃扇抗性石	七级刃扇真气石,七级抗性真气石
八级刃扇抗性石	八级刃扇真气石,八级抗性真气石
九级刃扇抗性石	九级刃扇真气石,九级抗性真气石
十级刃扇抗性石	十级刃扇真气石,十级抗性真气石

五级刃扇内力石	五级刃扇真气石,五级内力真气石
六级刃扇内力石	六级刃扇真气石,六级内力真气石
七级刃扇内力石	七级刃扇真气石,七级内力真气石
八级刃扇内力石	八级刃扇真气石,八级内力真气石
九级刃扇内力石	九级刃扇真气石,九级内力真气石
十级刃扇内力石	十级刃扇真气石,十级内力真气石
