;熔炼物品特效配置文件
金羊项链(道)	251	0	254	0	257	5009	0	0	0
金羊护腕(战)	251	0	254	0	257	5008	0	0	0
金羊护腕(法)	251	0	254	0	257	5008	0	0	0
金羊护腕(道)	251	0	254	0	257	5008	0	0	0
金羊战戒	251	0	254	0	257	5007	0	0	0
金羊魔戒	251	0	254	0	257	5007	0	0	0
金羊道戒	251	0	254	0	257	5007	0	0	0
金羊战勋	251	0	254	0	257	5035	0	0	0
金羊法勋	251	0	254	0	257	5035	0	0	0
金羊道勋	251	0	254	0	257	5035	0	0	0
邪眼金羊魔戒	251	0	254	0	257	5007	0	0	0
邪眼金羊道戒	251	0	254	0	257	5007	0	0	0
邪眼金羊战戒	251	0	254	0	257	5007	0	0	0
