1/2 功勋令牌
1/100 神蛇腰带(道)
1/100 神蛇道戒
1/100 神蛇护腕(道)
1/100 神蛇道盔
1/100 神蛇道勋
1/100 神蛇项链(道)
1/100 神蛇面巾(道)
1/100 神蛇斗笠(道)
1/100 神蛇魔靴
1/100 神蛇腰带(法)
1/100 神蛇魔戒
1/100 神蛇护腕(法)
1/100 神蛇法冠
1/100 神蛇法勋
1/100 神蛇项链(法)
1/100 神蛇面巾(法)
1/100 神蛇斗笠(法)
1/100 神蛇斗笠(战)
1/100 神蛇腰带(战)
1/100 神蛇战靴
1/100 神蛇战戒
1/100 神蛇护腕(战)
1/100 神蛇战勋
1/100 神蛇项链(战)
1/100 神蛇面巾(战)
1/100 神蛇战盔
1/100 神蛇道袍(女)
1/100 神蛇道袍(男)
1/100 神蛇魔衣(女)
1/100 神蛇魔衣(男)
1/100 神蛇战甲(女)
1/100 神蛇战甲(男)
1/100 神蛇宝扇
1/100 神蛇权杖
1/100 神蛇战刃
1/90 灵蛇道靴
1/90 灵蛇腰带(道)
1/90 灵蛇道戒
1/90 灵蛇护腕(道)
1/90 灵蛇道盔
1/90 灵蛇道勋
1/90 灵蛇项链(道)
1/90 灵蛇面巾(道)
1/90 灵蛇斗笠(道)
1/90 灵蛇魔靴
1/90 灵蛇腰带(法)
1/90 灵蛇魔戒
1/90 灵蛇护腕(法)
1/90 灵蛇法冠
1/90 灵蛇法勋
1/90 灵蛇项链(法)
1/90 灵蛇面巾(法)
1/90 灵蛇斗笠(法)
1/90 灵蛇斗笠(战)
1/90 灵蛇腰带(战)
1/90 灵蛇战靴
1/90 灵蛇战戒
1/90 灵蛇护腕(战)
1/90 灵蛇战勋
1/90 灵蛇项链(战)
1/90 灵蛇面巾(战)
1/90 灵蛇战盔
1/90 灵蛇道袍(女)
1/90 灵蛇道袍(男)
1/90 灵蛇魔衣(女)
1/90 灵蛇魔衣(男)
1/90 灵蛇战甲(女)
1/90 灵蛇战甲(男)
1/90 灵蛇宝扇
1/90 灵蛇权杖
1/90 灵蛇战刃
1/70 灵蛇宝扇
1/70 灵蛇权杖
1/70 灵蛇战刃
1/70 金蛇斗笠
1/70 金蛇腰带
1/70 金蛇之靴
1/70 金蛇之戒
1/70 金蛇护腕
1/70 金蛇勋章
1/70 金蛇项链
1/70 金蛇面巾
1/70 金蛇之冠
1/70 金蛇道袍(女)
1/70 金蛇道袍(男)
1/70 金蛇魔衣(女)
1/70 金蛇魔衣(男)
1/70 金蛇战甲(女)
1/70 金蛇战甲(男)
1/70 金蛇宝扇
1/70 金蛇权杖
1/70 金蛇战刃
1/70 魂玉Lv.MAX
1/70 魂玉Lv.24
1/70 魂玉Lv.23
1/70 魂玉Lv.22
1/70 魂玉Lv.21
1/70 魂玉Lv.20
1/70 魂玉Lv.19
1/70 魂玉Lv.18
1/70 魂玉Lv.17
1/70 魂玉Lv.16
1/70 魂玉Lv.15
1/70 魂玉Lv.14
1/70 魂玉Lv.13
1/70 魂玉Lv.12
1/70 魂玉Lv.11
1/70 魂玉Lv.10
1/70 魂玉Lv.9
1/70 魂玉Lv.8
1/70 魂玉Lv.7
1/70 魂玉Lv.6
1/70 魂玉Lv.5
1/70 魂玉Lv.4
1/70 魂玉Lv.3
1/70 魂玉Lv.2
1/70 魂玉Lv.1
1/50 灵玉Lv.MAX
1/50 灵玉Lv.24
1/50 灵玉Lv.23
1/50 灵玉Lv.22
1/50 灵玉Lv.21
1/50 灵玉Lv.20
1/50 灵玉Lv.19
1/50 灵玉Lv.18
1/50 灵玉Lv.17
1/50 灵玉Lv.16
1/50 灵玉Lv.15
1/50 灵玉Lv.14
1/50 灵玉Lv.13
1/50 灵玉Lv.12
1/50 灵玉Lv.11
1/50 灵玉Lv.10
1/50 灵玉Lv.9
1/50 灵玉Lv.8
1/50 灵玉Lv.7
1/50 灵玉Lv.6
1/50 灵玉Lv.4
1/50 灵玉Lv.5
1/50 灵玉Lv.3
1/50 灵玉Lv.2
1/50 灵玉Lv.1
1/30 血玉Lv.MAX
1/30 血玉Lv.24
1/30 血玉Lv.23
1/30 血玉Lv.22
1/30 血玉Lv.21
1/30 血玉Lv.20
1/30 血玉Lv.19
1/30 血玉Lv.18
1/30 血玉Lv.17
1/30 血玉Lv.16
1/30 血玉Lv.15
1/30 血玉Lv.13
1/30 血玉Lv.14
1/30 血玉Lv.12
1/30 血玉Lv.13
1/30 血玉Lv.11
1/30 血玉Lv.10
1/30 血玉Lv.9
1/30 血玉Lv.8
1/30 血玉Lv.7
1/30 血玉Lv.6
1/30 血玉Lv.5
1/30 血玉Lv.3
1/30 血玉Lv.4
1/30 血玉Lv.2
1/30 血玉
1/30 传奇印(道)
1/30 传奇印(法)
1/30 至尊传奇印(战)
1/30 至尊传奇印(法)
1/30 至尊传奇印(道)
1/30 传奇印(法)
1/30 传奇印(战)
1/30 主宰印(道)
1/30 主宰印(法)
1/30 主宰印(战)
1/30 主宰印
1/30 神龙之心
1/55 热血道靴
1/55 热血魔靴
1/55 热血道勋
1/55 热血法勋
1/55 热血斗笠(道)
1/55 热血斗笠(法)
1/55 热血斗笠(战)
1/55 热血面巾(道)
1/55 热血面巾(法)
1/55 热血腰带(道)
1/55 热血腰带(法)
1/55 热血魔戒
1/55 热血道戒
1/55 热血护腕(道)
1/55 热血护腕(法)
1/55 热血项链(道)
1/55 热血项链(法)
1/55 热血道盔
1/55 热血法冠
1/55 热血项链(战)
1/55 热血护腕(战)
1/55 热血战戒
1/55 热血战勋
1/55 热血面巾(战)
1/55 热血战靴
1/55 热血腰带(战)
1/55 热血战盔
1/55 热血重生袍(女)
1/55 热血重生袍(男)
1/55 热血重生衣(女)
1/55 热血重生衣(男)
1/55 热血重生甲(男)
1/55 热血重生甲(女)
1/55 热血道袍(女)
1/55 热血道袍(男)
1/55 热血魔衣(女)
1/55 热血魔衣(男)
1/55 热血战甲(女)
1/55 热血战甲(男)
1/55 轮回热血宝扇
1/55 神铸热血魔杖
1/55 狂化热血战刃
1/55 热血宝扇
1/55 热血魔杖
1/55 热血战刃
